anio,Derecho,Ingeniería Civil,Ingeniería Comercial,Medicina
2006,22.3,23.3,16.6,17.8
2007,20.6,20.5,17.3,18.4
2008,16.1,20.8,15.3,18.1
2009,17.4,20.4,15.3,14.7
2010,18.1,20.3,20.9,16.7
2011,18.5,19.7,20.1,14.5
2012,12.1,14.5,9.9,10.3
2013,11.9,14.1,9.5,10.2
2014,11.5,15.1,8.8,7.5
2015,12.9,15.5,9.0,10.0
2016,11.6,15.7,8.8,8.0
2017,11.2,15.8,8.9,7.6
2018,12.1,15.7,10.1,10.4
2019,12.5,15.1,9.8,8.4
2020,11.8,14.9,9.6,9.8
2021,12.2,15.8,10.3,12.4
2022,13.3,14.8,9.6,9.2
2023,13.6,16.3,10.1,10.2
2024,12.9,16.0,9.8,11.2
2025,11.6,15.4,9.4,7.3
