anio,Derecho,Ingeniería Civil,Ingeniería Comercial,Medicina
2006,934,3645,795,359
2007,995,3704,800,370
2008,998,3519,862,378
2009,957,4190,824,374
2010,1028,4605,1077,379
2011,1060,4566,1055,385
2012,1515,5498,2397,514
2013,1625,5945,2365,540
2014,1610,5877,2392,523
2015,1600,5820,2393,541
2016,1586,5904,2493,511
2017,1564,6044,2786,541
2018,1752,6103,2948,558
2019,1808,6242,2959,550
2020,1653,6112,2797,552
2021,1668,6057,2627,540
2022,1673,6000,2661,541
2023,1726,6358,2831,541
2024,1665,6770,2907,546
2025,1727,7130,3005,551
