anio,Derecho,Ingeniería Civil,Ingeniería Comercial,Medicina
2006,17.1,19.2,15.0,10.4
2007,15.4,16.3,13.9,8.2
2008,12.7,13.4,11.0,7.5
2009,12.7,14.8,11.8,7.1
2010,12.4,14.7,15.8,9.2
2011,14.0,15.7,16.7,7.7
2012,12.1,14.6,9.6,7.2
2013,11.9,14.7,8.7,5.9
2014,13.3,14.7,8.7,7.4
2015,14.4,14.7,9.3,7.6
2016,12.4,16.8,10.5,9.3
2017,13.8,17.8,10.6,6.8
2018,15.0,19.6,11.7,10.6
2019,15.6,20.1,12.4,10.2
2020,18.4,19.3,15.4,10.4
2021,16.3,21.4,16.8,11.1
2022,24.2,25.2,21.3,11.7
2023,21.4,24.6,21.6,14.7
2024,20.9,26.4,21.4,15.8
2025,22.3,27.2,21.3,19.1
