anio,variable_ingreso,tramo_frontera,peso_frontera,tramos_completos
2006,INGRESO_BRUTO_FAM,1,0.7166,0
2007,INGRESO_BRUTO_FAM,1,0.6269,0
2008,INGRESO_BRUTO_FAM,2,0.2468,1
2009,INGRESO_BRUTO_FAM,2,0.4028,1
2010,INGRESO_BRUTO_FAM,2,0.4529,1
2011,INGRESO_BRUTO_FAM,2,0.5197,1
2012,INGRESO_BRUTO_FAM,2,0.6091,1
2013,INGRESO_BRUTO_FAM,2,0.7134,1
2014,INGRESO_BRUTO_FAM,2,0.8580,1
2015,INGRESO_BRUTO_FAM,2,0.9678,1
2016,INGRESO_BRUTO_FAM,3,0.1709,2
2017,INGRESO_BRUTO_FAM,3,0.5551,2
2018,INGRESO_BRUTO_FAM,3,0.2764,2
2019,INGRESO_BRUTO_FAM,3,0.4309,2
2020,INGRESO_BRUTO_FAM,3,0.7051,2
2021,INGRESO_PERCAPITA_GRUPO_FA,3,0.5465,2
2022,INGRESO_PERCAPITA_GRUPO_FA,3,0.3311,2
2023,INGRESO_PERCAPITA_GRUPO_FA,2,0.9554,1
2024,INGRESO_PERCAPITA_GRUPO_FA,3,0.2319,2
2025,INGRESO_PERCAPITA_GRUPO_FA,3,0.6886,2
