rbd,nombre,comuna,region,anio_fundacion,rbd_verificado,fuente_verificacion,notas
,Instituto Nacional General José Miguel Carrera,Santiago,Metropolitana,1813,no,,
,Liceo Valentín Letelier de Santiago,Recoleta,Metropolitana,1888,no,,
,Liceo Miguel Luis Amunátegui,Santiago,Metropolitana,1890,no,,
,Liceo de Aplicación,Santiago,Metropolitana,1892,no,,
,Liceo N.º 1 Javiera Carrera,Santiago,Metropolitana,1894,no,,
,Liceo Isaura Dinator de Guzmán,Santiago,Metropolitana,1896,no,,
8499,Internado Nacional Barros Arana,Santiago,Metropolitana,1902,si,MINEDUC MIME (mime.mineduc.cl/ficha?rbd=8499),RBD confirmado manualmente como ejemplo
,Liceo Manuel Barros Borgoño,Santiago,Metropolitana,1902,no,,
,Liceo José Victorino Lastarria,Providencia,Metropolitana,1913,no,,
,Liceo Carmela Silva Donoso,Ñuñoa,Metropolitana,1913,no,,
,Liceo Miguel de Cervantes y Saavedra,Santiago,Metropolitana,1933,no,,
,Liceo 7 Luisa Saavedra de González,Providencia,Metropolitana,1942,no,,
,Liceo Andrés Bello,San Miguel,Metropolitana,1945,no,,
,Liceo Experimental Gabriela Mistral,Independencia,Metropolitana,1946,no,,
,Liceo Darío Salas,Santiago,Metropolitana,1947,no,,
,Liceo Arturo Alessandri Palma,Providencia,Metropolitana,1952,no,,
,Liceo Confederación Suiza,Santiago,Metropolitana,1956,no,,
,Liceo Comercial Insuco de Chile (ex-A99),San Miguel,Metropolitana,1960,no,,
,Liceo Carmela Carvajal de Prat,Providencia,Metropolitana,1961,no,,
,Liceo Tajamar de Providencia,Providencia,Metropolitana,1971,no,,
